,,,,,,1A,1B,2,3,5A,5B,5C,5D,5E,1 (no computer),2 (no comp),3 (no comp),j4,j5,6,7NL,7A,7B,j8,j9,10A,10B,10C,10D,Notes
Gr,Cl,"St
Id","In
Cl","In
Gr","In
Ov",,,,"Are the spaces between
the tick marks too big
or too small?","block that moves
 to next spot to
draw a tick mark
B","block that sets
how many ticks
A","block controls
speed
D","block that draws
tick mark
C","block that will
space tick marks
A","Draw tick marks
to show fourths",,"Does the number
in move 50 need
to be bigger or
smaller?","Estimate what you
think the numbers
be for fourths
and write them
in the script","Check work.
Adjest
numbers",,,,"Does move 75 need
to be bigger or
smaller?","Estimate for
sixths",try again,What other programs can you write to partition the number line?,,,,
,,,,,,360,Space Key,partitioned only to the frog,too small,,,,,,,,bigger,,,equal spaced and labeled,,too big,smaller,,,"Answers will vary.
(1,360; 2,180; 3,120; 4,90; 5,72; 6,60, 8,45; 9,40; 10,36; 12,30;15,24;
18,20)
",,,,
3,Y,1,1,1,1,360,space key,yes - not labeled,too small,B,A,D,C,A,correct,too small,bigger,4;90,4;90,unlabeled,unlabeled,too big,no answer,6;30,6;60,20;18,200;1.8,1000;.18,1;360,
3,Y,2,2,2,2,360,space key,yes,too small,C,A,D,C,A,correct,too small,bigger,1;360,4;90,correct,unlabeled,too big,smaller,6;70,6;60,5;72,6;60,no answer,no answer,
3,Y,3,3,3,3,4,space key,yes - not labeled,too small,B,A,D,C,A,unlabeled,too small,bigger,"4;20 ""I did repeat 4 and move 70 because I thought that would work.""","4;90 ""Next, I just thought 90 then I did go and that worked.""",unlabeled,no answer,too big,smaller,"5;70 ""I thought 70 and 5 would work together.""","5;72 ""Then it was really close so I went up to 71 then 72 and the frog ate the fly.""",5;72,no answer,no answer,no answer,
3,Y,4,4,4,4,4,space key,yes,too small,C,A,D,B,A,correct,too small,bigger,"4:90 ""I did 90 is close to 100 and it and it would be a little to smale so I chose 90.",no answer,unlabeled,incorrect,too big,smaller,6;60,no answer,3;120,8;45,9;90,10;36,
3,Y,6,5,5,5,4,space key,yes,too small,C,C,B,C,A,correct,too small,bigger,3;70,"3;70 ""I did 90 instead of 70 because 70 was to short.""",correct,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,
3,Y,7,6,6,6,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,correct,too small,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,
3,Y,8,7,7,7,360,space key,yes,too small,C,C,D,D,A,correct,too small,bigger,"4;90 wrote and erased ""move 90 steps, move 90 steps, move 90 steps""","4;90 wrote and erased ""move 90 steps.""",correct,correct,too big,smaller,6;60,6;60,5;72,6;60,6;72,no answer,
3,Y,9,8,8,8,360,space key,yes,too small,B,C,no answer,no answer,no answer,correct,too small,smaller,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,
3,Y,10,9,9,9,360,space key,yes,too small,C,A,D,C,A,correct,too small,bigger,"4;70 ""bigger then 50""","4;90 ""bigger then 70""",correct,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,
3,Y,11,10,10,10,8,play,no answer,too small,A,C,D,C,A,correct,too small,bigger,4;90,no answer,correct,incorrect,no answer,smaller,6;58,6;54,no answer,no answer,no answer,no answer,
3,Y,12,11,11,11,90,space key,no answer,too big,B,C,A,D,A,correct,too small,bigger,4;90,4;90,correct,incorrect,no answer,bigger,3;100,3;120,2;180,1;360,3;120,5;80,
3,Y,14,12,12,12,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,correct,too small,bigger,"4;80 ""It should be at least bigger than 50!""","4;90 ""I think 90 will work because it is 10 more.""",correct,correct,too big,bigger,"6;50 ""I went to little because it is not a multiple.""","6;60 "" I is 6ths because 6 X 60 is 360m so 60 is for 6ths.",no answer,no answer,no answer,no answer,
